frame,xmin,ymin,xmax,ymax,scaled_xmin,scaled_ymin,scaled_xmax,scaled_ymax
0,1038,271,1102,340,805.7475,87.98701299,855.4275,110.3896104

0,475,635,650,837,368.71875,206.1688312,504.5625,271.7532468

0,1153,354,1364,419,895.01625,114.9350649,1058.805,136.038961

0,887,402,979,525,688.53375,130.5194805,759.94875,170.4545455

0,418,142,478,202,324.4725,46.1038961,371.0475,65.58441558

0,1039,266,1102,341,806.52375,86.36363636,855.4275,110.7142857

0,178,327,579,625,138.1725,106.1688312,449.44875,202.9220779

0,153,513,801,1017,118.76625,166.5584416,621.77625,330.1948052

0,180,328,580,622,139.725,106.4935065,450.225,201.9480519

0,1330,290,1414,337,1032.4125,94.15584416,1097.6175,109.4155844

0,1127,288,1234,331,874.83375,93.50649351,957.8925,107.4675325

0,579,256,1076,629,449.44875,83.11688312,835.245,204.2207792

0,1331,361,1398,438,1033.18875,117.2077922,1085.1975,142.2077922

0,23,282,202,529,17.85375,91.55844156,156.8025,171.7532468

0,1388,344,1600,521,1077.435,111.6883117,1242,169.1558442

0,1156,402,1573,652,897.345,130.5194805,1221.04125,211.6883117

0,979,314,1025,416,949.9359375,163.5416667,994.5703125,216.6666667

0,123,193,715,720,119.3484375,100.5208333,693.7734375,375

0,442,437,497,710,428.878125,227.6041667,482.2453125,369.7916667

0,743,48,1142,720,720.9421875,25,1108.096875,375
